year,mon,day,rate
1974,6,21,8.10
1974,6,28,8.29
1974,7,5,8.46
1974,7,12,8.66
1974,7,19,8.37
1974,7,26,8.11
1974,8,2,8.59
1974,8,9,8.58
1974,8,16,8.56
1974,8,23,8.72
1974,8,30,8.77
1974,9,6,8.65
1974,9,13,8.52
1974,9,20,8.38
1974,9,27,8.18
1974,10,4,8.15
1974,10,11,7.99
1974,10,18,7.98
1974,10,25,7.91
1974,11,1,7.98
1974,11,8,7.81
1974,11,15,7.62
1974,11,22,7.49
1974,11,29,7.48
1974,12,6,7.43
1974,12,13,7.16
1974,12,20,7.07
1974,12,27,7.25
1975,1,3,7.33
1975,1,10,7.24
1975,1,17,7.29
1975,1,24,7.26
1975,1,31,7.08
1975,2,7,6.76
1975,2,14,6.75
1975,2,21,6.46
1975,2,28,6.62
1975,3,7,6.65
1975,3,14,6.67
1975,3,21,6.87
1975,3,28,7.02
1975,4,4,7.46
1975,4,11,7.74
1975,4,18,7.70
1975,4,25,7.90
1975,5,2,7.86
1975,5,9,7.59
1975,5,16,7.31
1975,5,23,7.22
1975,5,30,7.27
1975,6,6,7.18
1975,6,13,6.91
1975,6,20,7.07
1975,6,27,7.46
1975,7,4,7.58
1975,7,11,7.59
1975,7,18,7.65
1975,7,25,7.81
1975,8,1,7.94
1975,8,8,8.11
1975,8,15,8.19
1975,8,22,8.27
1975,8,29,8.09
1975,9,5,8.09
1975,9,12,8.32
1975,9,19,8.44
1975,9,26,8.23
1975,10,3,8.27
1975,10,10,8.03
1975,10,17,7.92
1975,10,24,7.65
1975,10,31,7.41
1975,11,7,7.30
1975,11,14,7.32
1975,11,21,7.59
1975,11,28,7.59
1975,12,5,7.55
1975,12,12,7.65
1975,12,19,7.44
1975,12,26,7.25
1976,1,2,7.12
1976,1,9,7.02
1976,1,16,6.94
1976,1,23,7.00
1976,1,30,6.98
1976,2,6,7.00
1976,2,13,7.11
1976,2,20,7.10
1976,2,27,7.05
1976,3,5,7.30
1976,3,12,7.16
1976,3,19,7.13
1976,3,26,7.00
1976,4,2,7.05
1976,4,9,6.88
1976,4,16,6.70
1976,4,23,6.74
1976,4,30,6.91
1976,5,7,7.00
1976,5,14,7.18
1976,5,21,7.38
1976,5,28,7.52
1976,6,4,7.45
1976,6,11,7.33
1976,6,18,7.28
1976,6,25,7.24
1976,7,2,7.27
1976,7,9,7.17
1976,7,16,7.03
1976,7,23,7.16
1976,7,30,7.06
1976,8,6,6.96
1976,8,13,6.86
1976,8,20,6.83
1976,8,27,6.81
1976,9,3,6.75
1976,9,10,6.71
1976,9,17,6.66
1976,9,24,6.61
1976,10,1,6.59
1976,10,8,6.33
1976,10,15,6.02
1976,10,22,6.15
1976,10,29,6.35
1976,11,5,6.31
1976,11,12,6.33
1976,11,19,6.11
1976,11,26,5.79
1976,12,3,5.65
1976,12,10,5.67
1976,12,17,5.69
1976,12,24,5.67
1976,12,31,5.71
1977,1,7,5.83
1977,1,14,6.20
1977,1,21,6.33
1977,1,28,6.48
1977,2,4,6.54
1977,2,11,6.39
1977,2,18,6.35
1977,2,25,6.51
1977,3,4,6.49
1977,3,11,6.50
1977,3,18,6.46
1977,3,25,6.44
1977,4,1,6.45
1977,4,8,6.45
1977,4,15,6.22
1977,4,22,6.23
1977,4,29,6.36
1977,5,6,6.49
1977,5,13,6.58
1977,5,20,6.57
1977,5,27,6.56
1977,6,3,6.49
1977,6,10,6.46
1977,6,17,6.35
1977,6,24,6.35
1977,7,1,6.32
1977,7,8,6.40
1977,7,15,6.47
1977,7,22,6.55
1977,7,29,6.61
1977,8,5,6.74
1977,8,12,6.81
1977,8,19,6.85
1977,8,26,6.78
1977,9,2,6.72
1977,9,9,6.75
1977,9,16,6.84
1977,9,23,6.86
1977,9,30,6.94
1977,10,7,6.97
1977,10,14,7.18
1977,10,21,7.28
1977,10,28,7.28
1977,11,4,7.32
1977,11,11,7.24
1977,11,18,7.17
1977,11,25,7.19
1977,12,2,7.22
1977,12,9,7.27
1977,12,16,7.27
1977,12,23,7.33
1977,12,30,7.39
1978,1,6,7.40
1978,1,13,7.71
1978,1,20,7.66
1978,1,27,7.65
1978,2,3,7.58
1978,2,10,7.62
1978,2,17,7.71
1978,2,24,7.74
1978,3,3,7.71
1978,3,10,7.69
1978,3,17,7.64
1978,3,24,7.65
1978,3,31,7.79
1978,4,7,7.82
1978,4,14,7.81
1978,4,21,7.83
1978,4,28,7.95
1978,5,5,7.99
1978,5,12,8.06
1978,5,19,8.07
1978,5,26,8.15
1978,6,2,8.19
1978,6,9,8.16
1978,6,16,8.19
1978,6,23,8.40
1978,6,30,8.51
1978,7,7,8.51
1978,7,14,8.56
1978,7,21,8.55
1978,7,28,8.55
1978,8,4,8.36
1978,8,11,8.21
1978,8,18,8.37
1978,8,25,8.35
1978,9,1,8.37
1978,9,8,8.35
1978,9,15,8.34
1978,9,22,8.45
1978,9,29,8.49
1978,10,6,8.50
1978,10,13,8.47
1978,10,20,8.57
1978,10,27,8.69
1978,11,3,9.12
1978,11,10,9.10
1978,11,17,8.95
1978,11,24,8.96
1978,12,1,9.16
1978,12,8,9.12
1978,12,15,9.19
1978,12,22,9.52
1978,12,29,9.59
1979,1,5,9.58
1979,1,12,9.60
1979,1,19,9.59
1979,1,26,9.42
1979,2,2,9.15
1979,2,9,9.20
1979,2,16,9.28
1979,2,23,9.39
1979,3,2,9.45
1979,3,9,9.39
1979,3,16,9.39
1979,3,23,9.38
1979,3,30,9.33
1979,4,6,9.34
1979,4,13,9.46
1979,4,20,9.44
1979,4,27,9.47
1979,5,4,9.54
1979,5,11,9.54
1979,5,18,9.45
1979,5,25,9.27
1979,6,1,9.19
1979,6,8,9.06
1979,6,15,8.90
1979,6,22,8.99
1979,6,29,8.81
1979,7,6,8.78
1979,7,13,8.88
1979,7,20,8.96
1979,7,27,9.05
1979,8,3,9.01
1979,8,10,8.98
1979,8,17,9.06
1979,8,24,9.20
1979,8,31,9.40
1979,9,7,9.68
1979,9,14,9.66
1979,9,21,9.72
1979,9,28,9.71
1979,10,5,9.85
1979,10,12,10.65
1979,10,19,11.01
1979,10,26,11.83
1979,11,2,11.64
1979,11,9,11.56
1979,11,16,11.12
1979,11,23,11.31
1979,11,30,10.64
1979,12,7,10.61
1979,12,14,10.86
1979,12,21,10.68
1979,12,28,10.71
1980,1,4,10.75
1980,1,11,10.69
1980,1,18,10.78
1980,1,25,10.96
1980,2,1,11.24
1980,2,8,11.83
1980,2,15,12.12
1980,2,22,13.65
1980,2,29,14.07
1980,3,7,14.27
1980,3,14,13.83
1980,3,21,13.86
1980,3,28,14.31
1980,4,4,13.64
1980,4,11,12.91
1980,4,18,11.81
1980,4,25,11.23
1980,5,2,10.49
1980,5,9,9.57
1980,5,16,9.44
1980,5,23,9.23
1980,5,30,9.14
1980,6,6,9.23
1980,6,13,8.78
1980,6,20,8.64
1980,6,27,8.96
1980,7,4,9.15
1980,7,11,9.16
1980,7,18,9.19
1980,7,25,9.23
1980,8,1,9.72
1980,8,8,9.90
1980,8,15,10.18
1980,8,22,11.06
1980,8,29,11.52
1980,9,5,10.92
1980,9,12,11.18
1980,9,19,11.74
1980,9,26,12.06
1980,10,3,11.97
1980,10,10,11.54
1980,10,17,11.65
1980,10,24,12.08
1980,10,31,12.82
1980,11,7,13.27
1980,11,14,12.99
1980,11,21,13.33
1980,11,28,13.62
1980,12,5,13.77
1980,12,12,14.10
1980,12,19,14.17
1980,12,26,12.91
1981,1,2,12.81
1981,1,9,12.72
1981,1,16,12.91
1981,1,23,13.32
1981,1,30,13.13
1981,2,6,13.41
1981,2,13,13.86
1981,2,20,13.53
1981,2,27,13.80
1981,3,6,13.95
1981,3,13,13.55
1981,3,20,13.06
1981,3,27,13.57
1981,4,3,13.40
1981,4,10,13.89
1981,4,17,14.07
1981,4,24,14.33
1981,5,1,14.57
1981,5,8,15.35
1981,5,15,15.36
1981,5,22,15.05
1981,5,29,14.55
1981,6,5,14.42
1981,6,12,14.16
1981,6,19,14.15
1981,6,26,14.39
1981,7,3,14.58
1981,7,10,14.76
1981,7,17,14.86
1981,7,24,15.61
1981,7,31,15.55
1981,8,7,15.88
1981,8,14,15.67
1981,8,21,15.98
1981,8,28,16.39
1981,9,4,16.47
1981,9,11,16.42
1981,9,18,15.97
1981,9,25,15.98
1981,10,2,16.36
1981,10,9,15.59
1981,10,16,15.21
1981,10,23,15.50
1981,10,30,15.34
1981,11,6,14.17
1981,11,13,13.07
1981,11,20,12.72
1981,11,27,12.67
1981,12,4,13.06
1981,12,11,13.46
1981,12,18,13.56
1981,12,25,14.15
1982,1,1,14.09
1982,1,8,14.32
1982,1,15,14.73
1982,1,22,14.92
1982,1,29,14.57
1982,2,5,14.84
1982,2,12,15.05
1982,2,19,14.88
1982,2,26,14.26
1982,3,5,13.96
1982,3,12,13.94
1982,3,19,14.19
1982,3,26,14.18
1982,4,2,14.47
1982,4,9,14.36
1982,4,16,14.21
1982,4,23,14.09
1982,4,30,14.02
1982,5,7,13.95
1982,5,14,13.73
1982,5,21,13.71
1982,5,28,13.71
1982,6,4,13.99
1982,6,11,14.08
1982,6,18,14.57
1982,6,25,14.95
1982,7,2,14.81
1982,7,9,14.49
1982,7,16,14.08
1982,7,23,13.53
1982,7,30,13.72
1982,8,6,13.26
1982,8,13,13.24
1982,8,20,12.07
1982,8,27,12.00
1982,9,3,12.25
1982,9,10,12.16
1982,9,17,12.23
1982,9,24,11.96
1982,10,1,11.60
1982,10,8,11.19
1982,10,15,10.27
1982,10,22,10.28
1982,10,29,10.52
1982,11,5,9.96
1982,11,12,9.96
1982,11,19,10.01
1982,11,26,9.92
1982,12,3,10.04
1982,12,10,9.95
1982,12,17,9.84
1982,12,24,9.88
1982,12,31,9.79
1983,1,7,9.65
1983,1,14,9.45
1983,1,21,9.55
1983,1,28,9.87
1983,2,4,10.00
1983,2,11,10.06
1983,2,18,9.95
1983,2,25,9.66
1983,3,4,9.48
1983,3,11,9.78
1983,3,18,9.83
1983,3,25,10.03
1983,4,1,10.06
1983,4,8,9.90
1983,4,15,9.71
1983,4,22,9.77
1983,4,29,9.68
1983,5,6,9.43
1983,5,13,9.45
1983,5,20,9.69
1983,5,27,9.95
1983,6,3,10.17
1983,6,10,10.29
1983,6,17,10.20
1983,6,24,10.45
1983,7,1,10.47
1983,7,8,10.77
1983,7,15,10.92
1983,7,22,10.93
1983,7,29,11.06
1983,8,5,11.38
1983,8,12,11.58
1983,8,19,11.17
1983,8,26,11.03
1983,9,2,11.41
1983,9,9,11.23
1983,9,16,11.14
1983,9,23,10.99
1983,9,30,10.82
1983,10,7,10.74
1983,10,14,10.95
1983,10,21,10.79
1983,10,28,10.98
1983,11,4,11.01
1983,11,11,11.04
1983,11,18,10.96
1983,11,25,10.88
1983,12,2,10.98
1983,12,9,11.10
1983,12,16,11.21
1983,12,23,11.13
1983,12,30,11.10
1984,1,6,11.04
1984,1,13,10.98
1984,1,20,10.86
1984,1,27,10.89
1984,2,3,10.87
1984,2,10,10.96
1984,2,17,11.04
1984,2,24,11.17
1984,3,2,11.24
1984,3,9,11.38
1984,3,16,11.53
1984,3,23,11.77
1984,3,30,11.80
1984,4,6,11.96
1984,4,13,11.84
1984,4,20,11.99
1984,4,27,12.08
1984,5,4,12.26
1984,5,11,12.59
1984,5,18,12.78
1984,5,25,12.93
1984,6,1,13.25
1984,6,8,12.99
1984,6,15,13.08
1984,6,22,13.24
1984,6,29,13.46
1984,7,6,13.38
1984,7,13,13.19
1984,7,20,13.06
1984,7,27,12.86
1984,8,3,12.63
1984,8,10,12.44
1984,8,17,12.45
1984,8,24,12.46
1984,8,31,12.60
1984,9,7,12.63
1984,9,14,12.34
1984,9,21,12.19
1984,9,28,12.27
1984,10,5,12.26
1984,10,12,12.06
1984,10,19,11.88
1984,10,26,11.48
1984,11,2,11.33
1984,11,9,11.06
1984,11,16,11.05
1984,11,23,10.75
1984,11,30,10.67
1984,12,7,10.80
1984,12,14,10.71
1984,12,21,10.32
1984,12,28,10.39
1985,1,4,10.58
1985,1,11,10.51
1985,1,18,10.49
1985,1,25,10.25
1985,2,1,10.34
1985,2,8,10.42
1985,2,15,10.40
1985,2,22,10.56
1985,3,1,10.91
1985,3,8,11.07
1985,3,15,11.08
1985,3,22,11.13
1985,3,29,10.93
1985,4,5,10.84
1985,4,12,10.66
1985,4,19,10.28
1985,4,26,10.29
1985,5,3,10.32
1985,5,10,10.06
1985,5,17,9.75
1985,5,24,9.43
1985,5,31,9.36
1985,6,7,8.97
1985,6,14,9.06
1985,6,21,8.90
1985,6,28,9.27
1985,7,5,8.98
1985,7,12,8.96
1985,7,19,9.13
1985,7,26,9.41
1985,8,2,9.51
1985,8,9,9.46
1985,8,16,9.28
1985,8,23,9.18
1985,8,30,9.22
1985,9,6,9.36
1985,9,13,9.51
1985,9,20,9.43
1985,9,27,9.17
1985,10,4,9.25
1985,10,11,9.35
1985,10,18,9.25
1985,10,25,9.21
1985,11,1,9.13
1985,11,8,9.00
1985,11,15,8.94
1985,11,22,8.78
1985,11,29,8.75
1985,12,6,8.75
1985,12,13,8.41
1985,12,20,8.23
1985,12,27,8.24
1986,1,3,8.25
1986,1,10,8.39
1986,1,17,8.57
1986,1,24,8.46
1986,1,31,8.29
1986,2,7,8.21
1986,2,14,8.17
1986,2,21,8.10
1986,2,28,7.91
1986,3,7,7.51
1986,3,14,7.26
1986,3,21,7.29
1986,3,28,7.19
1986,4,4,7.03
1986,4,11,6.82
1986,4,18,6.59
1986,4,25,6.94
1986,5,2,7.07
